smiles,1,2,3,4,5,6,7
CCCC(CCC)C(=O)O,0.0,0.0,0.0,0.0,0.0,,
O=C1CN=C(c2ccccc2)c2ccccc2N1,0.0,0.0,0.0,0.0,,,
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,0.0,0.0,,,0.0,,
O=C1Nc2ccccc2C(c2ccccc2)=N[C@H]1Cc1ccccc1,0.0,0.0,0.0,0.0,,,
CC(C)[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,,,,
[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)Nc2cc(-c3ccccc3)ccc2N)c1,0.0,,0.0,,0.0,,
[N-]=[N+]=NCCC(=O)Nc1ccc(C(=O)Nc2cc(N=[N+]=[N-])ccc2N)cc1,0.0,,0.0,,0.0,,
CN(C)c1ccc(/C=C/C(=O)NCCC(=O)NO)cc1,0.0,,,,,,
COc1ccc(NCc2ccc(C(=O)Nc3ccc(-c4cccs4)cc3N)cc2)cc1OC,0.0,0.0,0.0,0.0,0.0,,
CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C,0.0,0.0,,,,,
O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,0.0,1.0,1.0,1.0,,,
Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1cccc(-c2cn(-c3ccccc3)nn2)c1,0.0,0.0,1.0,0.0,0.0,,
O=C(CCCc1csc(/C=C/c2ccccc2)n1)NO,0.0,1.0,,,,,
Nc1cc(F)ccc1NC(=O)CCCCCNS(=O)(=O)c1ccc(F)cc1,0.0,,1.0,,,,
O=C(NO)c1ccc(Cn2cc(Cc3ccccc3)c3ccccc32)cc1,0.0,1.0,,1.0,,,
C[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4cc5ccccc5s4)ccc3N)cc2)cc1OC,0.0,0.0,0.0,0.0,0.0,,
CC(C)(C)OC[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
O=C(O)CCCCN1C(=O)[C@H](CC(=O)O)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
CSCC[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
C[C@H](OCc1ccccc1)[C@@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)O)C1=O,0.0,0.0,0.0,0.0,,,
